Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Gm12951	predicted gene 12951	Mus musculus	lncRNA_gene	MGI	
Gm13043	predicted gene 13043	Mus musculus	protein_coding_gene	MGI	
C130068B02Rik	RIKEN cDNA C130068B02 gene	Mus musculus	lncRNA_gene	MGI	
C430019N01Rik	RIKEN cDNA C430019N01 gene	Mus musculus	lncRNA_gene	MGI	
C130057G02Rik	RIKEN cDNA C130057G02 gene	Mus musculus	lncRNA_gene	MGI	
B430316J06Rik	RIKEN cDNA B430316J06 gene	Mus musculus	lncRNA_gene	MGI	
D630004N19Rik	RIKEN cDNA D630004N19 gene	Mus musculus	lncRNA_gene	MGI	
A230054M22Rik	RIKEN cDNA A230054M22 gene	Mus musculus	lncRNA_gene	MGI	
E430022E14Rik	RIKEN cDNA E430022E14 gene	Mus musculus	lncRNA_gene	MGI	
Aadacl2fm1	AADACL2 family member 1	Mus musculus	protein_coding_gene	MGI	C130079G13Rik
C130076G22Rik	RIKEN cDNA C130076G22 gene	Mus musculus	lncRNA_gene	MGI	
Lemd3	LEM domain containing 3	Mus musculus	protein_coding_gene	MGI	Man1
Tek	TEK receptor tyrosine kinase	Mus musculus	protein_coding_gene	MGI	Cd202b|Hyk|tie-2|Tie2
Tef	thyrotroph embryonic factor	Mus musculus	protein_coding_gene	MGI	2310028D20Rik
Tec	tec protein tyrosine kinase	Mus musculus	protein_coding_gene	MGI	
Sry	sex determining region of Chr Y	Mus musculus	protein_coding_gene	MGI	Tdf|Tdy
C130063K03Rik	RIKEN cDNA C130063K03 gene	Mus musculus	lncRNA_gene	MGI	
C130013N14Rik	RIKEN cDNA C130013N14 gene	Mus musculus	lncRNA_gene	MGI	
C030004N09Rik	RIKEN cDNA C030004N09 gene	Mus musculus	lncRNA_gene	MGI	
C030010F05Rik	RIKEN cDNA C030010F05 gene	Mus musculus	lncRNA_gene	MGI	
B230308H17Rik	RIKEN cDNA B230308H17 gene	Mus musculus	lncRNA_gene	MGI	
A130014A01Rik	RIKEN cDNA A130014A01 gene	Mus musculus	lncRNA_gene	MGI	
