Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
ZNF396	Zinc finger protein 396	Sus scrofa	protein	UniProtKB	
A0A5G2QB68	OCEL domain-containing protein	Sus scrofa	protein	UniProtKB	
CACNA1F	Voltage-dependent L-type calcium channel subunit alpha	Sus scrofa	protein	UniProtKB	
A0A287AQI7	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100626191	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TSPAN17	Tetraspanin	Sus scrofa	protein	UniProtKB	
A0A287AQI3	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
HYAL3	Hyaluronidase-3	Sus scrofa	protein	UniProtKB	
PGK2	Phosphoglycerate kinase 2	Sus scrofa	protein	UniProtKB	
ADAM15	Disintegrin and metalloproteinase domain-containing protein 15	Sus scrofa	protein	UniProtKB	
PARP4	Poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
RAB10	Ras-related protein Rab-10	Sus scrofa	protein	UniProtKB	
LOC100156995	Olfactory receptor	Sus scrofa	protein	UniProtKB	
THBS2	Thrombospondin-2	Sus scrofa	protein	UniProtKB	
ABHD14A	AB hydrolase-1 domain-containing protein	Sus scrofa	protein	UniProtKB	
GATAD2B	GATA-type domain-containing protein	Sus scrofa	protein	UniProtKB	
HOXA10	Homeobox domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC110260322	Filaggrin	Sus scrofa	protein	UniProtKB	
SLC38A5	Aa_trans domain-containing protein	Sus scrofa	protein	UniProtKB	
DPF3	Zinc finger protein DPF3	Sus scrofa	protein	UniProtKB	
TXNRD3	thioredoxin-disulfide reductase	Sus scrofa	protein	UniProtKB	
CALCB	Calcitonin	Sus scrofa	protein	UniProtKB	
WBP2	GRAM domain-containing protein	Sus scrofa	protein	UniProtKB	
ANKRD13C	Ankyrin repeat domain 13C	Sus scrofa	protein	UniProtKB	
GCN1	TOG domain-containing protein	Sus scrofa	protein	UniProtKB	
NNT	proton-translocating NAD(P)(+) transhydrogenase	Sus scrofa	protein	UniProtKB	
POU3F3	POU domain protein	Sus scrofa	protein	UniProtKB	
NPPC	C-type natriuretic peptide	Sus scrofa	protein	UniProtKB	CNP
DOP1A	Dopey_N domain-containing protein	Sus scrofa	protein	UniProtKB	
DUSP12	protein-tyrosine-phosphatase	Sus scrofa	protein	UniProtKB	
FATE1	Fetal and adult testis-expressed transcript protein homolog	Sus scrofa	protein	UniProtKB	FATE
PPP1R9A	Neurabin-1	Sus scrofa	protein	UniProtKB	
DGKI	Diacylglycerol kinase	Sus scrofa	protein	UniProtKB	
LOC100515126	Olfactory receptor	Sus scrofa	protein	UniProtKB	
DUSP5	Dual specificity protein phosphatase	Sus scrofa	protein	UniProtKB	
MAOA	Amine oxidase [flavin-containing] A	Sus scrofa	protein	UniProtKB	
I3LQK3	40S ribosomal protein S19	Sus scrofa	protein	UniProtKB	
NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	Sus scrofa	protein	UniProtKB	
PTPRV	protein-tyrosine-phosphatase	Sus scrofa	protein	UniProtKB	LOC100624894
C1H18orf54	Chromosome 1 C18orf54 homolog	Sus scrofa	protein	UniProtKB	C18orf54
G6PC1	Glucose-6-phosphatase	Sus scrofa	protein	UniProtKB	G6PC
NUFIP1	C2H2-type domain-containing protein	Sus scrofa	protein	UniProtKB	
PNLIPRP2	Pancreatic lipase-related protein 2	Sus scrofa	protein	UniProtKB	
LOC110259718	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TGFB3	Transforming growth factor beta-3 proprotein	Sus scrofa	protein	UniProtKB	
MMP1	Interstitial collagenase	Sus scrofa	protein	UniProtKB	
EBNA1BP2	rRNA-processing protein EBP2	Sus scrofa	protein	UniProtKB	
CHD7	DNA helicase	Sus scrofa	protein	UniProtKB	
CALHM2	Calcium homeostasis modulator protein 2	Sus scrofa	protein	UniProtKB	
SUN3	SUN domain-containing protein	Sus scrofa	protein	UniProtKB	
HSD17B8	Estradiol 17-beta-dehydrogenase 8	Sus scrofa	protein	UniProtKB	
VTA1	Vesicle trafficking 1	Sus scrofa	protein	UniProtKB	
A0A5G2QAP2	MARVEL domain-containing protein	Sus scrofa	protein	UniProtKB	
PFKFB1	6PF2K domain-containing protein	Sus scrofa	protein	UniProtKB	
DPM2	Dolichol phosphate-mannose biosynthesis regulatory protein	Sus scrofa	protein	UniProtKB	
INTS11	Integrator complex subunit 11	Sus scrofa	protein	UniProtKB	
CTSO	Pept_C1 domain-containing protein	Sus scrofa	protein	UniProtKB	
YTHDC2	RNA helicase	Sus scrofa	protein	UniProtKB	
METTL13	Methyltransf_11 domain-containing protein	Sus scrofa	protein	UniProtKB	EEF1AKNMT
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	Sus scrofa	protein	UniProtKB	
ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	Sus scrofa	protein	UniProtKB	
TGM1	TGc domain-containing protein	Sus scrofa	protein	UniProtKB	
BMS1	Bms1-type G domain-containing protein	Sus scrofa	protein	UniProtKB	
GPR50	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ITSN2	Intersectin-2	Sus scrofa	protein	UniProtKB	
BMP4	TGF_BETA_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
SENP3	ULP_PROTEASE domain-containing protein	Sus scrofa	protein	UniProtKB	
UBA2	SUMO-activating enzyme subunit 2	Sus scrofa	protein	UniProtKB	
CUTAL	HTH psq-type domain-containing protein	Sus scrofa	protein	UniProtKB	LOC102164650
BLVRB	NAD(P)-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100626157	Lipocln_cytosolic_FA-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
I3LQH1	Keratin-associated protein 10-12-like	Sus scrofa	protein	UniProtKB	
CASP1	Caspase-1	Sus scrofa	protein	UniProtKB	IL1BC
A0A5G2QAN6	S10_plectin domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100525165	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ZMYND11	Zinc finger MYND domain-containing protein 11	Sus scrofa	protein	UniProtKB	
LOC110259732	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SHFL	UPF0515 protein C19orf66 homolog	Sus scrofa	protein	UniProtKB	
IPO7	Importin N-terminal domain-containing protein	Sus scrofa	protein	UniProtKB	
OR1B1	Olfactory receptor	Sus scrofa	protein	UniProtKB	
IL23A	Interleukin-23 subunit alpha	Sus scrofa	protein	UniProtKB	SGRF
HERC4	HECT domain-containing protein	Sus scrofa	protein	UniProtKB	
OBSL1	Obscurin-like protein 1	Sus scrofa	protein	UniProtKB	
NIPAL2	NIPA-like protein 2	Sus scrofa	protein	UniProtKB	
POMC	Pro-opiomelanocortin	Sus scrofa	protein	UniProtKB	
CSNK1A1	Casein kinase I isoform alpha	Sus scrofa	protein	UniProtKB	
A0A287AQA7	Coiled-coil domain-containing protein 187	Sus scrofa	protein	UniProtKB	
DSEL	Sulfotransfer_1 domain-containing protein	Sus scrofa	protein	UniProtKB	
CPM	Carboxypeptidase M	Sus scrofa	protein	UniProtKB	
CENPW	Centromere protein W	Sus scrofa	protein	UniProtKB	
YBX3	CSD domain-containing protein	Sus scrofa	protein	UniProtKB	
TRIM6	Tripartite motif-containing protein 6	Sus scrofa	protein	UniProtKB	
IL7	Interleukin-7	Sus scrofa	protein	UniProtKB	
I3LQF2	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TAX1BP1	Tax1-binding protein 1	Sus scrofa	protein	UniProtKB	
CCND3	Cyclin N-terminal domain-containing protein	Sus scrofa	protein	UniProtKB	
IL7R	Interleukin-7 receptor subunit alpha	Sus scrofa	protein	UniProtKB	
CNN3	Calponin	Sus scrofa	protein	UniProtKB	
CCN3	Cellular communication network factor 3	Sus scrofa	protein	UniProtKB	
K7GT09	SRCR domain-containing protein	Sus scrofa	protein	UniProtKB	
TAB1	PPM-type phosphatase domain-containing protein	Sus scrofa	protein	UniProtKB	
NRN1L	Neuritin-like protein	Sus scrofa	protein	UniProtKB	
CARS1	cysteine--tRNA ligase	Sus scrofa	protein	UniProtKB	
A0A5G2QAK2	Secreted protein	Sus scrofa	protein	UniProtKB	
SLA-DMA	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
TIPARP	TCDD-inducible poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
CAPN2	Calpain-2 catalytic subunit	Sus scrofa	protein	UniProtKB	
PIN4	Peptidyl-prolyl cis-trans isomerase	Sus scrofa	protein	UniProtKB	
SST	Somatostatin	Sus scrofa	protein	UniProtKB	
ATP6AP2	Renin receptor	Sus scrofa	protein	UniProtKB	
LOC100621657	Olfactory receptor	Sus scrofa	protein	UniProtKB	
GIN1	Integrase catalytic domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF852	Zinc finger protein 852	Sus scrofa	protein	UniProtKB	
LOC106509347	Olfactory receptor	Sus scrofa	protein	UniProtKB	
DEPDC7	DEP domain-containing protein	Sus scrofa	protein	UniProtKB	
FOSB	BZIP domain-containing protein	Sus scrofa	protein	UniProtKB	
CFAP91	Cilia- and flagella-associated protein 91	Sus scrofa	protein	UniProtKB	
SMCO2	Single-pass membrane protein with coiled-coil domains 2	Sus scrofa	protein	UniProtKB	
ZCCHC10	Zinc finger CCHC domain-containing protein 10	Sus scrofa	protein	UniProtKB	
SNX1	Sorting nexin-1	Sus scrofa	protein	UniProtKB	
RALGAPA1	Rap-GAP domain-containing protein	Sus scrofa	protein	UniProtKB	
OSBP2	Oxysterol-binding protein	Sus scrofa	protein	UniProtKB	
CADM2	Cell adhesion molecule 2	Sus scrofa	protein	UniProtKB	
MAPRE3	Microtubule-associated protein RP/EB family member 3	Sus scrofa	protein	UniProtKB	
AIRE	Autoimmune regulator	Sus scrofa	protein	UniProtKB	
HRG	Histidine-rich glycoprotein	Sus scrofa	protein	UniProtKB	
ZNF688	Zinc finger protein 688	Sus scrofa	protein	UniProtKB	
GASK1A	Protein FAM198A	Sus scrofa	protein	UniProtKB	
DIPK1C	PIP49_N domain-containing protein	Sus scrofa	protein	UniProtKB	
CCN2	CCN family member 2	Sus scrofa	protein	UniProtKB	CTGF|HBGF-0.8
FBXO40	F-box only protein 40	Sus scrofa	protein	UniProtKB	
GPR146	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
WASF1	Wiskott-Aldrich syndrome protein family member	Sus scrofa	protein	UniProtKB	
ARAF	Serine/threonine-protein kinase A-Raf	Sus scrofa	protein	UniProtKB	ARAF1
IL12RB1	Fibronectin type-III domain-containing protein	Sus scrofa	protein	UniProtKB	
SC5D	Fatty acid hydroxylase domain-containing protein	Sus scrofa	protein	UniProtKB	
SMARCA4	Transcription activator BRG1	Sus scrofa	protein	UniProtKB	
MTHFSD	Methenyltetrahydrofolate synthase domain-containing protein	Sus scrofa	protein	UniProtKB	
C5H12orf73	Chromosome 12 open reading frame 73	Sus scrofa	protein	UniProtKB	C12orf73
